,belief,listv,alive,true_v,time,visited
10,"[0.38461538461538464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,181,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10]]"
11,"[0.38461538461538464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,199,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9]]"
12,"[0.38461538461538464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,217,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11]]"
13,"[0.38461538461538464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,233,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13]]"
14,"[0.46153846153846156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,250,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14]]"
15,"[0.46153846153846156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,266,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13]]"
16,"[0.46153846153846156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,291,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16]]"
17,"[0.46153846153846156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,315,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19]]"
18,"[0.5384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,337,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20]]"
19,"[0.5384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]",3,"[True, True, True]",41,370,"[[2, 3, 4, 5, 6, 5, 6, 7, 6, 7, 6, 7, 9, 11, 13, 16, 19, 22, 25], [2, 3, 2, 1, 2, 3, 4, 5, 4, 5, 5, 6, 5, 6, 7, 9, 11, 9, 11], [2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 20, 19]]"
